number,imei,country
426.426.0578 x9297,59-608476-187148-6,Reunion
(885) 270-4996 x647,14-610634-386865-9,Sri Lanka
(966) 757-3396,13-883354-652317-5,Liberia
(826) 910-9642 x9056,08-268873-803558-6,Nigeria
1-612-447-2989 x9909,74-336420-623826-5,Turkey
1-956-622-9470 x7425,88-206372-723974-2,Tonga
630-715-1116 x187,10-629819-663980-4,Cook Islands
839.838.5804 x09824,99-659505-735548-4,Ecuador
1-492-627-7752 x08795,57-955329-303949-0,Syrian Arab Republic
1-427-691-5892 x124,93-995986-349644-7,Falkland Islands (Malvinas)
1-229-745-7663 x720,39-994549-528623-4,Latvia
1-437-880-4030 x5103,39-711655-131122-3,Democratic People's Republic of Korea
571-704-3761,19-681693-749499-8,Niger
(441) 698-4956 x77730,92-805188-808519-0,Malawi
907-947-9623 x39918,69-803332-922787-8,Saint Lucia
732.685.2546 x131,73-256392-087918-8,Maldives
1-742-396-6720 x7415,57-095229-637252-9,Norfolk Island
818.560.4546 x817,01-553921-383854-3,Bosnia and Herzegovina
311-930-4316,31-390145-468214-8,Barbados
378.754.8684 x153,62-147368-952948-3,Tokelau
(677) 945-6696 x29839,10-027157-906943-2,Mayotte
1-614-598-9554 x75255,46-151518-095584-0,Guadeloupe
224-463-4680 x99857,14-162019-815938-1,Djibouti
626-384-7834 x39430,62-956701-453753-3,Eswatini
1-256-762-8712,73-866428-234055-5,Democratic People's Republic of Korea
1-568-285-8480 x5695,63-663868-061918-5,Norfolk Island
1-313-607-2791,58-165898-893120-2,Saint Martin
362-204-8048 x5579,71-461284-079356-5,Taiwan
(622) 625-5098 x1858,31-798645-210917-4,Equatorial Guinea
618.412.9964,79-994350-605323-6,Bolivia
(427) 567-8359 x266,13-100914-441779-0,Brazil
(516) 472-9468,78-350281-975285-6,Norfolk Island
922.390.5118 x6132,80-969224-617334-5,Holy See (Vatican City State)
444.257.0104 x425,32-635610-463973-0,Curacao
1-895-256-2610 x469,61-226836-922394-9,Moldova
(779) 896-0229 x0783,93-586116-929823-4,Ukraine
910.558.9381 x5647,12-945928-272598-9,Democratic Republic of the Congo
1-309-525-2780 x43224,41-466741-615942-0,Aland Islands
(313) 711-5064 x503,66-517097-940651-6,Vietnam
(634) 731-6194,36-972126-431682-5,Honduras
619-214-7176 x4517,23-399594-076553-0,Guatemala
619.560.3462 x850,06-562251-784660-9,Democratic Republic of the Congo
(982) 492-2342 x857,57-842749-945570-4,Australia
1-248-971-4795 x964,00-192302-628657-7,Maldives
1-623-533-5983 x223,67-332061-710446-6,Eritrea
1-590-447-7253 x02047,28-301491-549378-6,Jersey
856-738-5875 x35072,47-594681-874547-3,Afghanistan
(291) 778-0797 x58190,94-390286-565880-8,Anguilla
960-966-5069 x3823,54-815265-459575-8,Grenada
1-735-982-2813 x1239,82-296460-440771-1,Falkland Islands (Malvinas)
(583) 765-0657 x099,95-139186-696397-0,Christmas Island
296-796-8922 x990,68-715181-661861-6,Estonia
(931) 628-0248 x57539,93-743805-568284-3,Mauritius
(716) 211-9480 x7670,22-442172-907916-8,Christmas Island
1-700-504-6942 x166,62-185674-056809-6,Aland Islands
244-992-4603 x815,03-795982-620518-3,Turks and Caicos Islands
(755) 321-0791 x429,60-050724-343781-9,Antarctica
446.916.8061 x1625,71-414882-199800-6,Bermuda
1-308-344-6110 x105,97-749876-427233-7,Lesotho
293-892-2406 x65237,12-740488-897641-4,Peru
577-270-1135 x3430,51-086225-404937-8,Guyana
1-380-659-5611 x232,98-911525-036359-6,Timor-Leste
767-546-3631 x5374,41-035288-731234-5,Lesotho
1-606-346-8736 x8821,97-195152-251356-2,Faroe Islands
919-729-4959,61-318045-481557-1,Mali
283.380.5475,39-900211-039295-3,Panama
(696) 848-6175 x229,84-061332-452604-9,Botswana
449.929.7828,04-001145-797233-8,Republic of Korea
1-868-336-0001 x792,34-712895-050275-8,Democratic People's Republic of Korea
223-422-8075,47-894405-820131-2,Portugal
578.374.5571 x1706,96-679935-186406-0,Guatemala
1-565-476-5373 x76519,40-923319-468581-8,South Africa
222-794-1546,79-136244-198911-5,Nicaragua
(745) 566-1235 x58356,58-716963-098637-4,Saint Kitts and Nevis
551-471-0392 x8092,71-586081-473962-2,Burundi
590-733-2415,83-382799-138994-0,Marshall Islands
1-371-833-9458 x5759,29-615267-275638-6,British Indian Ocean Territory (Chagos Archipelago)
437-513-1536 x227,43-973604-805902-6,Timor-Leste
509.349.0622 x32771,24-682591-104799-5,Ecuador
776-797-3022 x26388,66-139296-001523-9,Russian Federation
(865) 918-4616 x9878,55-470432-177351-4,Curacao
362-530-3926 x62043,07-896802-629118-2,Benin
976.480.8797,90-735951-303599-2,Liechtenstein
1-654-741-9038,90-129612-005573-0,Falkland Islands (Malvinas)
1-393-397-6828,81-923039-687521-7,Democratic Republic of the Congo
1-851-423-4141,74-451549-111747-7,Comoros
(642) 938-3019 x4055,35-688350-557093-6,Anguilla
680.327.7899 x02347,89-645763-230173-4,Gambia
(536) 969-2482 x376,19-553306-652417-9,Fiji
1-844-245-1220 x37829,70-413934-085987-0,Belarus
(285) 268-6632 x0248,20-096399-363951-4,Suriname
1-856-340-6428 x2171,99-152009-402769-3,Pitcairn Islands
(290) 498-3355 x937,93-101563-207713-9,Togo
(770) 906-1351 x7013,36-867240-738537-8,Bermuda
322-632-1608 x8675,63-082977-852103-9,Switzerland
(323) 556-0252 x710,35-474094-924394-6,Cote d'Ivoire
(694) 798-8827 x4613,53-710817-909459-7,Niger
419.467.6101 x8277,67-781075-017706-9,San Marino
552-877-3488 x129,49-336898-942392-1,Uzbekistan
627.994.2938 x71750,64-480839-880818-6,Peru
654.536.6483,24-884559-712792-7,Peru
1-612-868-2184 x081,15-474448-998417-6,Lithuania
769.381.4928 x523,57-361143-250830-8,Turks and Caicos Islands
805-432-2294,57-242091-231415-8,Saint Pierre and Miquelon
714.374.5744 x1880,20-619915-936714-5,Samoa
955.765.0493 x3009,82-927906-085130-9,Tanzania
879-475-8937 x188,13-643636-040331-8,Pitcairn Islands
328-886-5079 x3762,90-243355-763720-6,Jordan
925.958.4525 x1142,11-839135-165173-4,Eswatini
(650) 736-4862,06-338083-109977-5,Marshall Islands
(870) 439-7498,52-037390-832604-6,Iran
1-724-483-9581 x31593,33-570513-098418-0,Liechtenstein
(392) 585-6195 x5606,44-023149-532051-6,Holy See (Vatican City State)
1-621-519-7430,62-548782-442162-6,New Zealand
719.578.6768 x2469,83-989459-283297-9,Luxembourg
885.458.3254 x00815,80-784180-445900-8,Russian Federation
(888) 828-8444,64-751707-662564-1,Turkmenistan
(823) 426-4725 x022,19-729708-217573-3,Djibouti
665-876-4040,33-220568-636404-7,Israel
(215) 699-4030 x879,22-389941-353813-9,Heard Island and McDonald Islands
275.253.5582 x688,71-935115-988156-3,South Sudan
(997) 259-6489 x6229,61-582108-246886-5,South Africa
260.377.2021 x080,11-618498-385954-0,Moldova
348.290.3249 x1642,77-065003-370028-7,South Georgia and the South Sandwich Islands
1-882-235-6768 x10084,23-527778-256020-6,Zimbabwe
814-487-7499,14-240636-366548-8,Portugal
491-733-4248,97-273626-353852-5,Estonia
407.792.1714 x11602,46-025853-067183-0,Sierra Leone
566-738-9127 x270,54-680212-417512-6,Haiti
559-200-8995 x298,12-070415-026691-6,Turkmenistan
449-864-2754 x3387,64-740548-052461-0,Equatorial Guinea
386.204.5925 x1580,05-966149-816662-7,France
(321) 494-6237,78-774792-825123-5,Central African Republic
(366) 987-1100,63-899347-179593-6,Mauritius
492.202.1319,77-728118-375098-0,Jersey
(840) 790-8340 x5623,14-027740-525577-4,Libyan Arab Jamahiriya
(274) 222-9035 x0920,04-801601-678158-5,Turks and Caicos Islands
730.368.5458,81-749749-560157-8,Timor-Leste
(270) 845-5439,80-508255-050352-3,Russian Federation
586.444.1826,94-917304-994231-0,Argentina
425.223.2288,07-017881-074580-1,Bolivia
1-286-813-7209 x88400,36-855529-752406-7,Cyprus
926.229.6867 x6806,27-847410-205180-4,Comoros
(273) 897-2611,06-300152-604272-8,Lebanon
1-702-578-5577 x455,10-842121-844593-9,Kazakhstan
1-676-977-7008,40-448952-510719-6,Dominican Republic
(427) 309-3558 x634,04-462552-512835-3,Angola
(513) 761-8446 x089,28-939309-036629-6,Grenada
730-329-9570,07-162679-784792-4,Lebanon
1-726-365-9655,20-333916-431672-8,Seychelles
(656) 474-1916,27-013444-864203-3,Greenland
915.312.0697 x17632,86-617982-614204-9,Montenegro
646-630-5211 x670,78-726268-088873-7,Philippines
1-476-758-2794 x03437,07-373380-859033-3,Papua New Guinea
(712) 785-2676,17-157457-457737-2,Suriname
959-326-4574 x857,07-580385-451668-6,Republic of Korea
(898) 774-4579 x9627,16-033224-218837-6,Guinea-Bissau
1-610-956-5921 x024,01-701485-445905-6,Myanmar
(382) 881-8100 x84925,56-070604-756568-8,Barbados
778.827.6838,44-568727-895915-7,Sudan
780.347.3155 x763,43-835243-480737-3,Benin
626-878-6915 x7557,14-042165-919374-1,Falkland Islands (Malvinas)
662.371.1874 x805,40-841861-705785-8,Panama
794-655-1789,70-831224-703093-9,Benin
1-898-840-6720 x71803,19-657034-718314-3,Belgium
1-484-323-7437 x869,85-941022-982276-5,Cape Verde
203.990.1659 x975,39-025276-336355-8,Antarctica
(963) 639-8747 x47652,55-663557-550808-1,France
(624) 202-4750,51-677482-268850-0,Saint Vincent and the Grenadines
362.871.0721 x6096,90-900074-079952-5,Chile
670-873-0187 x95949,06-093224-449040-6,Ethiopia
(823) 892-8960,77-116832-402192-4,Iceland
(547) 515-5888 x6536,79-988779-233456-2,Guinea-Bissau
537.413.9071,88-784192-200209-7,Comoros
(672) 685-0379 x932,56-976374-477111-0,Spain
1-729-431-2039 x534,51-504972-378505-6,Mexico
453.631.6727 x24220,23-003867-650709-0,Nicaragua
556.234.2516 x1932,16-526489-735374-7,Japan
438-675-4896,05-468049-214442-7,Libyan Arab Jamahiriya
(252) 459-5758 x0475,34-330511-329570-2,Venezuela
696.850.9612 x914,30-675908-844983-2,Christmas Island
(275) 849-0606,04-091355-449504-0,Switzerland
(678) 502-0380 x515,00-761889-143364-3,Guinea-Bissau
423.596.5667,22-875785-140130-8,Brazil
266.373.2429 x586,89-907324-861288-0,Ghana
456.700.9833 x73737,15-947616-423709-2,French Southern Territories
(478) 820-2133 x47390,74-419534-670515-4,Falkland Islands (Malvinas)
1-554-776-2401 x5596,45-267166-059545-6,Finland
772-442-6217 x44749,00-082909-092138-0,Heard Island and McDonald Islands
1-733-482-6345,30-530511-729380-8,Cayman Islands
523-554-7371 x48063,26-001427-031346-9,United Arab Emirates
(507) 753-9513 x70349,53-499885-403110-1,"Bonaire, Sint Eustatius and Saba"
304-860-6242 x05351,82-681807-765258-1,India
1-604-940-5245 x0893,81-365696-399107-6,Saint Barthelemy
1-851-515-5547 x541,12-409177-204512-6,Trinidad and Tobago
(558) 955-2533 x62341,29-074814-782547-8,Colombia
718-820-0822 x64338,08-937340-757161-6,Montserrat
612-310-0996,53-009098-949131-1,Lesotho
1-849-273-9002 x4514,47-210551-511431-8,Luxembourg
945-996-8166 x7485,96-712304-867225-8,Tokelau
557-418-2638 x517,11-570858-313628-8,Aland Islands
747-435-4271 x6800,28-998334-964826-0,Equatorial Guinea
(330) 546-9953 x55290,91-927889-505493-2,Malta
769-521-9550 x7806,10-358131-222796-5,Zimbabwe
828-639-9137 x0886,22-815591-081592-5,Cote d'Ivoire
(520) 692-8275 x2836,80-210323-083850-2,Barbados
337.359.2107,19-246864-588759-4,Guinea-Bissau
(372) 978-2899 x027,41-188439-912032-8,Panama
926-832-0235 x457,78-401012-958564-3,Zimbabwe
1-679-322-0583 x78049,90-114484-012423-0,Western Sahara
588-683-1039,46-899237-788828-7,Comoros
1-795-612-7934 x610,05-878327-745432-0,Timor-Leste
598.559.1753 x0253,94-148708-709404-2,Bulgaria
1-451-973-9992 x458,73-827199-509869-2,Central African Republic
(257) 565-2219,64-785964-498154-8,Togo
(785) 270-8017 x4589,08-114214-739342-7,Vanuatu
1-357-256-7955,99-449299-444507-7,Jamaica
(373) 528-6540 x68858,45-140490-645492-9,Philippines
664-993-6415 x03952,86-732785-727134-9,Myanmar
751.892.3168 x906,49-163147-343367-8,Tajikistan
890-365-3715 x02096,88-545181-998347-4,Svalbard & Jan Mayen Islands
305.537.1216 x9616,69-255110-244475-4,Tonga
597.817.1941 x772,18-227025-801737-4,Cook Islands
868.500.3561 x28657,22-763168-790951-4,Bhutan
(773) 967-0385 x487,02-236788-849965-1,France
548-377-2392,78-186304-008137-0,Cote d'Ivoire
(387) 657-8545 x6175,62-455151-175053-9,Ireland
1-317-451-6891 x42940,62-342435-599135-6,Guam
1-712-432-9266 x88001,77-250984-835185-0,Georgia
893-370-1491 x36768,47-691183-001193-1,Tonga
(919) 246-9826 x045,93-055464-357942-9,Svalbard & Jan Mayen Islands
1-375-268-3373 x30925,60-822132-168470-4,Peru
(788) 785-6726 x49039,16-995329-087850-0,American Samoa
1-218-985-2464 x752,58-908573-377416-0,Sweden
1-807-955-4020,86-975490-285431-6,Yemen
426.577.0295,06-671555-037170-6,Montenegro
230.514.9229,73-282327-210592-5,Mauritius
605-800-4758 x6256,01-655252-844469-0,Bouvet Island
498-600-1285 x25207,09-019761-939388-2,Holy See (Vatican City State)
1-939-213-8995 x3703,94-225843-609661-9,Bangladesh
307-624-8961 x96109,10-948627-800855-3,Belize
(965) 952-3486 x52071,14-701212-405637-4,Romania
(989) 328-4666 x65198,29-774186-260502-0,Tonga
727-750-5036 x757,47-295739-359616-8,Syrian Arab Republic
(207) 887-7001 x562,51-100668-072155-1,Benin
1-510-715-9756 x62337,98-691477-673932-8,Svalbard & Jan Mayen Islands
305-919-3555 x2752,03-624509-832056-6,Comoros
520.588.4811 x669,96-797532-118767-0,Heard Island and McDonald Islands
877-263-2487,76-360090-724741-9,Namibia
550.934.2592 x7343,73-345920-254105-0,Suriname
1-952-341-8328 x65483,17-546499-999262-8,Western Sahara
1-945-737-1762 x3934,90-015525-297924-3,Croatia
757.406.6548,11-123556-447948-1,Turkmenistan
545-511-1932 x7145,74-607526-346031-4,Gibraltar
(950) 253-6104,66-335844-795801-8,Norway
(610) 766-9755,26-760346-545639-9,Djibouti
1-559-425-6842 x183,51-294017-910464-9,Bhutan
441.847.6082 x4673,57-971086-837240-5,Macao
1-959-778-4554 x8622,22-285592-298105-4,Liberia
432-330-5474 x90163,81-981068-077808-4,Northern Mariana Islands
1-850-422-1055,60-189204-561091-5,Austria
764.864.1915 x904,63-220170-557206-3,Grenada
(405) 651-7214 x506,74-450957-037477-8,Denmark
(465) 241-5681,97-476395-566822-8,Paraguay
1-985-534-4559 x2085,44-834607-054002-3,Namibia
936-537-8584,26-700643-957621-1,Namibia
557-432-4319 x383,53-018411-678598-2,Brazil
1-668-856-7371 x8260,83-669360-875133-7,Slovakia
1-521-297-8156 x6992,19-593853-154540-4,Montenegro
(785) 279-5345 x4348,22-254940-764066-1,Cayman Islands
1-866-372-3165 x28262,12-747829-063174-2,Zambia
1-933-699-5445 x19491,91-576457-166839-6,British Indian Ocean Territory (Chagos Archipelago)
(373) 590-9481 x42477,70-593692-494530-9,Cuba
(709) 330-8590,54-027534-680332-8,Mauritania
347.240.9532 x71411,79-961989-715903-6,Senegal
887.752.6345 x31267,49-460508-202343-2,Malta
958-947-1546,27-327226-566018-8,Djibouti
1-756-640-7485,46-097062-255254-2,Saint Barthelemy
303.986.2414 x15727,11-679857-625426-2,Micronesia
926-808-3368 x5110,94-367673-226750-2,Chile
1-765-220-4563,98-567532-538395-6,Chile
1-839-843-3890,29-954609-124907-0,Dominica
807-888-0474 x83023,28-998905-731595-0,Cocos (Keeling) Islands
1-752-813-9290 x2241,12-286762-575564-5,Colombia
339.262.6683,58-266644-769883-2,Greece
(481) 699-4152 x983,08-438667-481555-2,Yemen
830.474.9516,93-218013-593760-8,Chile
1-610-843-5681 x78006,76-872521-662662-6,Cape Verde
948.886.4665 x86289,76-630305-310856-1,Afghanistan
593.298.0503 x847,59-302685-436619-0,Tokelau
(366) 464-9891,68-247909-344282-1,Marshall Islands
274.859.1032,09-857523-574424-4,Solomon Islands
204-691-2430 x8883,84-478105-450346-6,Kiribati
240-709-9411 x55745,79-791940-279692-2,Isle of Man
1-527-358-2243 x8967,52-872393-138373-1,Switzerland
1-692-446-8870 x1093,09-367599-199025-7,Malta
1-528-313-1159,29-895296-764066-8,Austria
(789) 216-4009 x6704,40-218868-645922-0,Slovenia
974-356-6571,56-818655-852447-7,Netherlands
(237) 247-3744 x362,09-170391-210787-6,Slovenia
(213) 928-3271,18-407691-464183-0,Bulgaria
(620) 374-0613,19-976505-232567-6,Djibouti
845-968-6217,55-652676-808481-8,Chad
728.598.6708 x6469,00-595348-690846-5,Antarctica
1-495-561-6048 x1019,45-167929-132625-9,Fiji
(505) 704-3856 x52511,52-983893-541402-4,Finland
1-255-572-6637 x1869,02-688906-376368-0,Comoros
(675) 788-6837 x296,32-807822-632801-2,Afghanistan
353.757.3945 x66769,63-763548-079853-1,Luxembourg
(418) 405-0109 x2440,45-255828-301463-7,Belarus
495-751-3761 x1678,96-948928-059151-6,Malaysia
1-359-992-8466,32-978684-520707-3,Curacao
277.982.5467 x46956,66-389350-171825-4,Guinea
807.451.2731 x362,47-067275-334505-4,Curacao
791-328-6709 x71656,73-451032-722516-6,Puerto Rico
(819) 324-4067 x4581,59-951990-581099-6,Montserrat
(561) 737-7640 x823,72-788001-010282-7,Democratic People's Republic of Korea
(752) 669-4096 x29135,96-012537-617785-6,Guam
459-899-9984,40-595229-594377-6,Solomon Islands
1-584-912-4437 x8579,44-260032-215770-5,Haiti
782.720.7281 x57101,85-581347-154674-9,Paraguay
413-907-0605,07-348131-556854-7,Brunei Darussalam
605-274-6441 x9529,73-216328-233558-8,Palau
463-777-3201,05-114137-650917-0,Vietnam
1-569-527-9616,77-904042-156026-4,Portugal
532.548.0605 x18307,90-607149-480491-3,Cyprus
(896) 704-3428 x498,73-893698-451754-4,Palestine
503.773.2360,57-306301-515523-2,Grenada
1-816-465-1221 x75634,20-402068-612645-1,Central African Republic
354.337.3565 x6703,10-404362-271630-1,Fiji
293.886.5751 x2027,59-920510-054422-2,Tajikistan
(763) 977-7924 x6194,57-520186-493436-8,Gibraltar
1-436-380-9194 x270,03-270589-322973-8,Estonia
(419) 212-0891 x334,77-636177-716161-1,China
925.760.5619,06-639898-849565-0,Bahamas
1-731-825-2986,87-823588-818576-7,Uganda
1-260-257-8394,53-237908-030165-3,Gibraltar
1-263-350-7018,81-448001-936127-8,Saudi Arabia
1-976-890-4054,26-262495-454791-5,Canada
559-950-3654,99-202656-989566-2,Isle of Man
1-489-741-8181 x318,27-446538-558684-1,Philippines
(853) 572-9901 x432,94-960278-326758-3,"Bonaire, Sint Eustatius and Saba"
1-298-786-9554 x43708,70-312075-629513-1,Guyana
1-653-930-4709 x0586,06-744398-833537-0,British Indian Ocean Territory (Chagos Archipelago)
(442) 230-5182,08-859227-247103-9,Kyrgyz Republic
(288) 905-1024 x944,00-629404-713058-1,Tanzania
805.584.3507,17-848880-433317-0,Libyan Arab Jamahiriya
(774) 245-4576 x90022,05-307526-696425-1,Democratic People's Republic of Korea
330-277-1819 x930,26-338182-472892-3,Holy See (Vatican City State)
(745) 887-5225 x079,45-522764-023141-0,Mozambique
1-982-251-8262,76-128236-400461-7,Sri Lanka
541-512-1945 x690,50-990284-565711-6,Honduras
(699) 427-2714,20-280874-040593-3,American Samoa
548-478-2063 x7774,07-946938-305418-9,Egypt
(874) 540-1393 x465,96-763962-083111-1,Papua New Guinea
783.316.1021 x3887,18-163664-032586-8,Northern Mariana Islands
1-401-430-2670,39-604235-701144-8,Moldova
1-487-998-0619 x517,56-807356-565490-3,Croatia
1-257-733-9843 x6820,67-582629-424352-4,New Zealand
(475) 863-6169 x14573,61-128297-923298-5,Brunei Darussalam
950.541.8076,79-284856-375150-6,Somalia
(746) 909-1087 x711,70-918899-878790-4,Guinea
(661) 454-7950 x71617,53-290357-836604-1,Armenia
1-661-373-2541 x659,31-098311-940890-6,Tajikistan
1-458-544-9881,43-620025-224990-9,Bangladesh
1-750-880-9305 x82443,09-599907-817724-2,Lithuania
(466) 925-4778 x4361,82-919889-244137-0,Cambodia
(292) 988-0528 x346,65-479648-645578-7,Canada
323-375-8762,15-676774-771520-5,France
294.324.9635 x03599,63-136928-023204-8,Burundi
(599) 888-0482 x241,33-559486-111375-9,Zimbabwe
437-894-1992 x73662,51-324465-006676-8,Serbia
356.371.0206 x87397,25-336379-440419-0,Brunei Darussalam
1-230-213-4141 x736,19-336784-343170-1,San Marino
394.408.4088 x0830,29-014221-866049-5,Pitcairn Islands
(297) 623-5801 x83564,71-266306-870092-5,Reunion
1-730-805-7875 x5872,47-207083-415917-2,Honduras
342.535.2558 x3175,79-548836-265208-9,Poland
567.250.8449,03-532056-877924-4,Holy See (Vatican City State)
(608) 956-5908,44-864714-916215-6,Bahrain
683-637-1898 x799,60-907229-958428-8,Anguilla
(995) 851-0964,55-850056-455134-4,Zimbabwe
543-617-9310 x4262,15-910721-004157-2,Romania
903.876.0383,34-203514-250228-8,South Sudan
873.947.1834,45-063949-004821-2,Cote d'Ivoire
1-391-790-1357 x1326,61-521206-832095-9,Togo
385.410.1267 x25908,00-431185-410882-3,Switzerland
479-665-9872 x6175,51-130309-532449-7,Tokelau
(466) 451-4321 x89925,39-654158-825843-9,South Sudan
1-889-698-9444 x7365,73-369786-732959-8,Croatia
(245) 447-2344 x165,59-489040-308379-9,Hong Kong
